영단어|한국단어|설명
ISPS Code|국제선박 및 항만시설 보안 규칙|International Ship and Port Facility Security Code (ISPS Code)는 2001년 9.11 테러 공격 이후 해상에서의 선박의 보안을 다루기 위해 제정되었으며, SOLAS 11-2장에 포함됨. ISPS 코드는 선박 항만 보안을 위해 기국, 항만국, 선사, 선박 및 항만시설에 대한 요건을 규정하고 있음. 일부 기국은 특정 해역에 보안 수준을 지정할 수 있음. 기국은 통항하는 선박에 보안 레벨을 알리고, 선박은 선박보안계획서(SSP, Ship Security Plan)에 명시된 조치를 이행해야 함. 이 과정은 선사, 선박보안책임자(Ship Security Officer, SSO) 및 선장이 관여함
ISSUE FOR APPROVAL|승인 제출도|NULL
ISSUE REQUESTED QUANTITY|불출 대기 수량|NULL
ITCP|기술협력 프로그램|ITCP(INTEGRATED TECHNICAL COOPERATION PROGRAMME), 국제해사기구(IMO)가 제·개정하는 많은 국제협약과 관련하여 회원국마다 이행할 수 있는 역량이 각기 다르므로 이러한 실정을 고려하여, 기구 차원의 금전적·인적 지원을 통해 개도국을 중심으로 수행하는 역량 강화 활동임. 활동 결과를 매년 기술협력위원회(TCC)에서 연차 보고서를 통해 회원국에 공유
ITU|국제전기통신연합|ITU (International Telecommunication Union), 전기통신, 전파통신, 위성통신, 방송 등의 국제정보통신 분야를 총괄하는 국제연합(UN) 산하의 표준화 전문기구.
ITU (International Telecommunication Union|국제전기통신연맹|NULL
IUMINOUS FLUX|광속|NULL
Ice Anchor|얼음앵커|극지방에서 빙판에 박는 쇠말뚝(닻 대신에 이용)
Ice Belt|빙대|쇄빙선에서 만재흘수선과 경하흘수선 사이에 붙여주는 보강외판
Ice Breaker|쇄빙선|얼음이 덮인 수면의 얼음을 깨면서 항해할 수 있는 구조를 갖춘 배
Ice Breaker|쇄빙선(碎氷船|NULL
Ice Class Rules|내빙선(耐氷船) 규정|NULL
Ice Crusher|쇄빙기|얼음을 용도에 맞는 크기로 깨뜨리는 기계
Ice Making Capacity|제빙능력|제빙장치가 하루에 만들 수 있는 얼음의 양
Ice Patrol|유빙감시선|빙해역에서 유빙과의 충돌을 예방하기 위하여 이를 감시하는 선박
Ice Strengthning Construction|대빙구조|빙해항해가 가능하도록 보호 강화된 구조
Ice-flower Like Structure|선상조직|용접 파단면에 나타나는 조직으로 미세한 주상결정이 서리모양으로 정열되고 그 사이에 현미경적인 비금속 개재물과 기공이 들어있음
Ice-free Port|부동항|겨울에도 얼어붙지 않는 항구
Identical|동형(同型)의|NULL
Idle Time|유휴시간(遊休時間|NULL
Idling|공전(空轉|NULL
Ignitability|점화성|연료가 점화되어 화염이 전파되는 성질
Igniter|점화기|실린더 내의 압축기체에 착화시키는 장치
Ignition Point|발화점(發火點|NULL
Ignition Timing Adjustment|점화시기조절|내연기관의 효율이 최대가 되도록 점화순간을 조절하는 것
Illegal, unreported and unregulated fishing (IUU)|불법·비보고·비규제 어업|2009년 12월 체결된 「대한민국 정부와 러시아연방 정부 간 해양생물자원의 불법 비보고 비규제어업 방지 협력에 관한 협정」에 나오는 이름으로 무허가 혹은 어업 활동에 관한 국내·외 관련 법규 및 의무를 위반할 경우, 관련 국가 또는 국제 수산기구에 보고하지 않거나 거짓 보고할 경우, 그리고 공해 또는 국제수산기구 관할 수역 내 무국적 어선을 이용할 경우를 지칭함
Illumination|조도단위|NULL
Illumination Level|조도(照度|NULL
Illumination Lighting|조명|발광물을 이용하여 어두운 곳을 밝히는 것
Immerged Maximum Beam|침수부최대폭|수선면 아래 선체의 최대폭
Immersed Wedge|침하쐐기부|선체가 배수량 변화없이 경사되었을 때 새로이 수면에 잠기는 선체부분
Immersion Suit|방수복|수중에서 물에 젖지 않고 체온을 유지하도록 만든 피복
Immersion Suit|방수복(防水服|NULL
Immersion Time|도장후 주수(注水) 가능시간|NULL
Impact Analysis|영향 분석(影響分析|NULL
Impact Assessment|영향평가|위험도 개선을 위한 관리 행위의 유효성을 추적하기 위한 절차
Impact Hardness Testing Machine|충격적 경도시험기|하중을 충격적으로 가하여 경도를 측정하는 시험기
Impact Load|충격 하중(衝擊荷重|NULL
Impact Test|충격 시험(衝擊試驗|NULL
Impact Wrench|충격 렌치|NULL
Impact Wrench|충격렌치|압축공기 등으로 연속적인 충격을 주어 너트를 잠그거나 풀어주는 공구
Impedance|임피던스|NULL
Impedence|특성임피던스|NULL
Impeller|임펠라|NULL
Impingement Corrosion|충격부식|금속표면이 반복되는 충격에 의해 몹시 소모되는 현상
Implementation Budget|실행예산(實行豫産|NULL
Impressed Current Cathodic|부식방지|NULL
Impressed Current Protection|외부전원방식법|외부에서 직류전류를 공급하여 선체의 전위를 방식전위로 유지시켜 주는 방식방법
Impulse|충격|극히 짧은 시간에 힘이 작용하는 현상
Impulse Turbine|충동(衝動) 터어빈|NULL
Impurity|불순물(不純物|NULL
In-Place Valve Repair|밸브 수리 (未取外|NULL
In-Process|재공(在工)의|NULL
In-Process Inspection|공정중(工程中) 검사|NULL
In-Process Material Control|재공자재 관리|NULL
In-situ Repair|원위치에서 수리|NULL
In-water cleaning|수중 소제|수중에서 선박으로부터 생물오손을 물리적으로 제거하는 것을 말함 < 출처: MARINE LINK 홈페이지 >
Inboard|선체 내측(內側)으로|NULL
Incandescent Lamp|백열등(白熱燈|NULL
Incentive System|능률급(能率給) 제도|NULL
Incinerator|소각기(燒却機|NULL
Inclusion|개지물|용접시 용착금속에 끼어들어간 불순물
Incombustible Material|불연성재료|규정된 불연성시험에서 타지 않고 규정 이상의 인화성 증기나 가스를 발생하지 않는 재료
Incomplete Penetration|불완전 용입|NULL
Inconsistent Requirement|불일치한 요구|NULL
Indent|흠집|NULL
Indicated Power|지시동력|피스톤 왕복동기관에서 실린더 안에서 발생하는 동력
Indicating Lamp|지시등(指示燈|NULL
Indicator|지압기|내연기관의 실린더압력을 측정하는 계기
Indirect Labor Cost|간접 노무비|NULL
Indirect illuminance|간접조도|NULL
Indirect lighting|간접조명|NULL
Individual Schedule|개별화물 일람표|산적 고체 화물 별 물리적·화학적 특성 및 해상운송 조건 등을 고려하여 운송 명칭, 위험성, 적재, 격리 및 운영요건 등 산적 고체 화물별 운송요건을 수록함. 산적 고체 화물을 국제적으로 운송하고자 하는 경우에 개별화물 일람 표에 명시된 운송요건을 준수해야 함
Induced Current|유도 전류|NULL
Induced Drag|유도항력|점성저항 이외에 소용돌이 발생 등과 같은 유체의 점성으로 유기되는 저항성분
Induced Electromotive|유도 기전력|NULL
Induction Brazing|유도브레이징|공작물에 유도전류를 흘려 발생되는 저항열로 납을 녹여붙이는 경납땜
Induction Motor, Integration|유도 전동기 , 적분 모터|NULL
Industrial Engineering|산업공학|NULL
Industrial Engineering|산업공학(産業工學|NULL
Inert Gas Deck Seal|불활성가스 덱실|화물유탱크내의 가스가 불활성가스장치로 역류하는 것을 막아주는 기기
Inert Gas Generator|불활성가스발생장치|연료를 연소시켜 산소농도가 낮은 연소가스를 생성하여 불활성가스로 사용하게 해주는 장치
Inert Gas Scrubber|불활성가스세척기|화물유탱크에 공급하는 불활성가스에 물을 분무하여 온도를 내려주고 아황산가스 등 불순물을 제거해 주는 장치
Inert Gas Smothering System|불활성가스 소화장치|불활성가스를 사용하는 소화장치
Inert Gas System|불활성가스장치|불활성가스를 화물유창에 충만시켜 폭발과 화재를 예방하는 장치
Inertia Test|타격시험|주기를 정지시켜서 배의 관성력을 조사하는 시험
Inertial Navigation System|관성 항법 장치|NULL
Inertial Reference System|관성 기준 장치|NULL
Inflammability Limit|가연한계(可燃 限界|NULL
Inflammable Gas Detector|가연성 가스 검출기|NULL
Inflatable Laft|팽창구명뗏목|해면에 투하되면 자동적으로 팽창되는 구명뗏목
Inflatable Life Raft|팽창식 구명뗏목|NULL
Information Retrieval system|정보검색 시스템|NULL
Infrared|적외선|NULL
Infrared Ray|적외선(赤外線|NULL
Ingot Steel|잉곳강|선철에서 불순물과 탄소를 산화제거하여 인성을 높인 강
Inherent Weakness Failure|고유(固有)결함 고장|NULL
Inhibit Circuit|억제회로(抑制回路|NULL
Initial Program Loader|초기 프로그램 적재기|NULL
Initial Stability|초기복원력|NULL
Injection|분사|압력을 가하여 액체를 작은 구멍으로 뿜어내는 것
Injection laser Diode|주입형 레이저 다이오드|NULL
Injector|분사노즐|NULL
Inner Bottom Longitudinal|내저종늑골|내저판 아래 종방향으로 붙이는 골재
Inner Harbor|내항|방파제 안쪽의 항내 수역
Inner Hull|내각|잠수함과 같은 이중선각구조에서 안 쪽의 선각
Innerbottom Plating|내저판(內底板|NULL
Innovative Method|혁신적인 방법|NULL
Inorganic Zinc Silicate|무기질(無機質) 아연 실리케이트|NULL
Input Output Control|입출력 제어 시스템|NULL
Insert Block|끼움블록|NULL
Insert Plate|끼움판|NULL
Inspection|점검|증서 및 서류의 유효성과 선박의 상태, 설비 및 승무원의 전반적인 상태를 확인하기 위해 선박에 승선하여 직접 확인하는 활동
Inspection Certificate|검사 증명서|NULL
Inspection Cover|검사뚜껑|기계나 장치를 분해하지 않고 들여다볼 수 있게 뚫어논 구멍과 덮개
Inspection Hatch|관찰 해치|화물창의 상태를 검사하기 위한 해치
Installation Drawing|설치도(設置圖|NULL
Installation Manual|설치 메뉴얼|NULL
Instantaneous Automatic|순시 자동 이득 조절|NULL
Institute of Electrical and|전기 전자 학회|NULL
Instruction Manual|취급 설명서|NULL
Instrumentation|계장|NULL
Instrumentation|계장(計裝|NULL
Insulated Gate Bipolar|고전력 스위칭용 반도체|NULL
Insulated Gate Bipolar|전력용 반도체|NULL
Insulated Gate FET|절연 게이트 FET|NULL
Insulating Core Transformer|절연 철심 변압기|NULL
Insulation|절연|전기적으로 통하지 않는 것
Insulation|절연 B 종|NULL
Insulation|절연 C 종|NULL
Insulation|절연 F 종|NULL
Insulation Cable|절연 전선|NULL
Insulation Resistance|절연 저항(絶緣抵抗|NULL
Insulation Resistance|절연저항|절연물의 전기저항
Insulation Temperature|절연 허용 온도|NULL
Insulation cable|절연전선|NULL
Intact Stability|비손상시의 복원력|NULL
Integer Programming,|정수 계획법 , 정보 제공자|NULL
Integrated Approach|종합적인 접근방식|NULL
Integrated Injection Logic|직접 주입 논리 회로|NULL
Integrated Services Digital|종합 정보 통신망|NULL
Intelligent Time Division|지능 시분할 다중화|NULL
Intent/Intention|고의|자기의 행위가 일정한 결과를 발생시킬 것을 인식하고 또 이 결과의 발생을 인용하는 것을 말함. 형법에서는 원칙적으로 고의의 경우만을 처벌하고 과실의 경우에는 처벌하지 않기 때문에, 고의와 과실과의 구별이 중요함. 민법에서는 고의는 과실과 함께 불법행위의 요건이 되므로 손해배상에 있어서는 고의든 과실이든 불문하므로 고의와 과실을 구별할 필요가 없는 경우도 있음 불법행위에 있어서 고의는 일정한 결과가 발생하리라는 것을 알면서 감히 이를 행하는 심리상태로써, 객관적으로 위법이라고 평가되는 일정한 결과의 발생이라는 사실의 인식만 있으면 되고 그 외에 그것이 위법한 것으로 평가된다는 것까지 인식하는 것을 필요로 하는 것은 아님(대법원 2002. 7. 12. 선고 2001다46440) 한편 미필적 고의는 자기의 행위로 인하여 어떤 범죄 결과의 발생 가능성을 인식(예견)하였음에도 불구하고 그 결과의 발생을 인용한 심리상태임. 예를 들며, 보험금을 탈 목적으로 밤에 자기 집에 방화할 때에 혹시 옆집까지 연소하여 잠자던 사람이 타죽을지도 모른다고 예견하면서도, 타죽어도 할 수 없다고 생각하고 방화한 경우와 같음. 미필적 고의는 불확정적 고의의 하나임
Interchangeability|호환성(互換性|NULL
Interconnection Pipe|연결관|두 개의 관계통을 연결시켜주는 관
Intercooler|중간냉각기(氣體의|NULL
Interface|인터페이스|NULL
Interface Meeting with Other Dept|타부서와 관련사항 협의|NULL
Interfacial reflection;|계면 반사|NULL
Interference|간섭|NULL
Interference Fitting|죔새 끼워맞춤|NULL
Interim Report (on|중간(中間) 보고서|NULL
Interim guidelines for Maritime Autonomous Surface Ships (MASS) trials|MASS 시운전 임시지침서|동 지침서는 MASS 시운전 시 발생할 수 있는 위험요인을 식별하고 제거할 수 있도록 지침을 제공함. 시운전은 협약에서 요구하는 해상안전, 보안 및 해양환경 보호와 같은 수준으로 시행되며, 선상이나 육상의 MASS 운항자는 시운전을 안전하게 시행할 수 있는 자격을 갖추어야 함. MASS 시운전 시 사용되는 시설들과 전산시스템의 사이버보안을 점검하는 단계도 지침서에 포함됨 1. 산업계와 정부의 통일된 단일지침서 개발 2. 통상적인 일반사항을 고려한 지침 개발 3. 기술적인 상세가 포함되지 않도록 적정 수준으로 개발 4. 목적기반기준개발(GBS) 방법과 절차를 준용 5. IMO와 이해당사자 간의 지침 개발 관련 정보 공유 6. 시운전 수행에 관한 해당 연안국 보고를 포함한 정보 공유 7. 선반 안전과 환경보호를 고려한 사고 예방조치 8. IMO 국제협약의 준수하에 시운전 수행 9. 항해 및 장비 등 시운전 작업 범위의 설정
Intermediate Beam|중간보|특수한 장소의 보강을 위하여 정상보의 중간에 증강되는 보
Intermediate Distributing|중간 배선판|NULL
Intermediate Frame|중간늑골|특수한 장소의 보강을 위하여 정상늑골의 중간에 증강되는 늑골
Intermediate Frequency|중간 주파 트랜스|NULL
Intermediate Frequency|중간 주파수|NULL
Intermediate Survey|중간 검사(中間檢査|NULL
Intermediate Survey|중간검사|선급등록검사나 정기검사완료일 부터 세 번째 검사기준일 전 후 3개월 이내에 수행하는 선급검사
Intermediate(Interm.) Shaft|중간축(中間軸|NULL
Intermittent Chain Welding|단속(斷續) 체인용접|NULL
Intermittent Failure|간헐고장(間歇故障|NULL
Intermittent Fillet Weld|띠엄 필렛용접(단속용접)|용접비드를 연속하지 않고 일정한 간격으로 띠어서 해 나가는 용접
Intermittent Staggered Welding|단속지그재그형용접|NULL
